Row Labels,Sum of Quatity
2667,-13557
2765,-15425
2766,-14980
2768,-13630
2769,-14336
2770,-15149
2772,-15408
2780,-13385
2781,-12888
2788,-16356
2789,-14766
2790,-14617
2791,-15909
2792,-13824
2793,-13954
2799,-14129
2800,-13624
2801,-12560
2808,-16156
2809,-14458
2810,-13493
2813,-13355
2814,-14940
2815,-15941
2819,-15594
2820,-14833
2822,-14911
2823,-13991
2824,-14378
2829,-15962
2838,-14932
2839,-9279
2844,-16095
2845,-14828
2847,-12992
2848,-14553
2857,-13036
2858,-15801
2859,-13608
2860,-12741
2861,-8254
2862,-12641
2870,-15697
2871,-16505
2873,-15755
2881,-13088
2882,-14009
2884,-13183
2885,-12635
2886,-13044
2887,-13099
2893,-13748
2894,-14900
2895,-14453
2896,-16139
2908,-14644
2909,-15487
2919,-15547
2922,-13619
2925,-16507
2928,-15029
2929,-16071
2936,-15414
2937,-14985
2946,-3669
2948,-14596
2949,-16792
2954,-13789
2955,-14174
2960,-13440
2961,-13985
2967,-14639
2968,-16461
2969,-16532
2975,-10272
2976,-15037
2981,-15085
2982,-14968
2988,-16761
2989,-16703
2994,-16456
2995,-14274
2999,-15362
3001,-14083
3002,-15599
3003,-13986
3004,-13736
3010,-13821
3011,-14502
3018,-15950
3019,-14063
3026,-15720
3027,-15127
3028,-14403
3031,-14822
3032,-12297
3033,-13812
3037,-11327
3038,-15494
3039,-15714
3047,-14773
3048,-11891
3049,-13926
3055,-12762
3056,-13677
3057,-15143
3059,-15482
3060,-13933
3061,-13699
3067,-16224
3068,-10823
3069,-14347
3072,-15878
3075,-15958
3076,-27536
3077,-905
3078,-15413
3079,-12653
3080,-16033
3081,-12917
3087,-13226
3091,-15446
3099,-15371
3105,-16095
3106,-9820
3118,-15802
3119,-14218
3120,-13951
3121,-16161
3128,-13926
3129,-13493
3133,-15869
3134,-15788
3135,-14983
3136,-13527
3141,-13934
3142,-13895
3143,-13847
3145,-14206
3146,-14236
3147,-14299
3153,-15543
3154,-15606
3155,-7936
3163,-13838
3164,-14536
3165,-13425
3170,-15751
3171,-14478
3174,-13397
3178,-15933
3180,-16565
3181,-15550
3187,-15823
3188,-15599
3191,-15329
3192,-15549
3202,-14248
3203,-14861
3204,-15499
3205,-15588
3206,-14309
3210,-15827
3211,-14677
3212,-15146
3214,-15885
3218,-14538
3219,-16065
3221,-14643
3222,-17423
3223,-17671
3224,-15535
3230,-17107
3232,-26112
3233,-16934
3236,-13194
3237,-16994
3238,-17382
3246,-14263
3247,-16076
3248,-14880
3256,-13969
3257,-15691
3258,-15569
3265,-15834
3268,-7811
3269,-8068
3270,-15757
3271,-13944
3274,-15635
3275,-16143
3276,-15346
3281,-14616
3282,-15461
3283,-14426
3291,-9386
3292,-9236
3293,-14766
3294,-13653
3298,-16793
3299,-15599
3300,-17774
3304,-15297
3305,-15667
3306,-15594
3310,-15406
3314,-14858
3315,-29310
3319,-16471
3320,-8294
3321,-14326
3332,-17446
3333,-13998
3339,-16390
3340,-13558
3344,-17034
3345,-17853
3346,-15859
3348,-14637
3349,-13837
3350,-16282
3356,-14209
3357,-15168
3358,-14317
3366,-16462
3367,-15522
3368,-14443
3375,-11275
3376,-17411
3377,-13652
3383,-14354
3384,-16972
3385,-14678
3387,-16836
3388,-16167
3391,-15259
3392,-15582
3393,-14696
3400,-15491
3401,-13608
3402,-14659
3406,-14453
3407,-16105
3408,-13761
3411,-14195
3412,-13592
3413,-13535
3420,-15360
3421,-14496
3422,-14525
3425,-15039
3426,-15825
3427,-16571
3431,-14190
3432,-14025
3433,-13648
3434,-15742
3437,-16336
3438,-14859
3441,-14188
3442,-6843
3452,-15960
3453,-16093
3454,-16191
3455,-13956
3456,-14170
3457,-14817
3464,-18016
3465,-15290
3466,-13524
3471,-13572
3472,-16350
3478,-9758
3479,-16280
3480,-14702
3488,-8897
3489,-12875
3490,-10627
3501,-14419
3502,-14550
3507,-28809
3508,-13664
3509,-14168
3510,-14039
3516,-3280
3517,-14228
3518,-15304
3525,-15794
3526,-15142
3533,-9642
3540,-15860
3541,-10334
3542,-11048
3543,-13826
3546,-16645
3547,-15997
3550,-15622
3551,-15999
3556,-15251
3557,-13829
3568,-15400
3569,-11719
3575,-16231
3576,-13084
3577,-13826
3583,-15701
3584,-13168
3585,-13523
3587,-15551
3588,-14494
3590,-15071
3591,-11090
3592,-15028
3593,-16049
3594,-11626
3595,-14702
3602,-15779
3603,-13345
3613,-15511
3619,-14530
3620,-14473
3621,-14887
3625,-16387
3626,-15544
3627,-9712
3629,-16838
3630,-16616
3636,-15293
3637,-14386
3638,-16123
3639,-14430
3642,-15798
3643,-12948
3653,-12612
3655,-14830
3656,-13406
3657,-15584
3660,-13635
3661,-13408
3664,-13481
3665,-13407
3675,-14922
3676,-14779
3677,-11254
3678,-15435
3683,-14050
3684,-13556
3693,-15963
3694,-15865
3701,-12640
3703,-15987
3704,-16109
3706,-15957
3707,-14165
3708,-13473
3710,-15718
3711,-15510
3712,-12242
3713,-14364
3714,-12836
3715,-14559
3727,-15413
3728,-14986
3729,-15774
3730,-12837
3734,-14755
3735,-13818
3739,-15222
3740,-14277
3741,-13959
3749,-12094
3750,-14014
3756,-15887
3757,-14394
3758,-16551
3759,-15299
3760,-15324
3761,-14078
3762,-13302
3763,-14693
3764,-15234
3774,-13747
3775,-14574
3776,-10634
3777,-14917
3778,-17420
3781,-16305
3782,-17517
3786,-17549
3790,-15166
3791,-14291
3792,-14001
3795,-15896
3796,-13377
3797,-13139
3804,-10132
3805,-15540
3810,-16151
3811,-13467
3812,-13690
3818,-8076
3835,-15497
3836,-14619
3837,-14654
3838,-14545
3849,-15286
3850,-14209
3851,-12919
3858,-15559
3859,-15205
3860,-13003
3866,-13302
3867,-15791
3868,-15091
3874,-11883
3875,-15686
3876,-15200
3881,-9909
3882,-15702
3883,-16110
3884,-11918
3885,-16105
3886,-13794
3887,-12451
3888,-16714
3889,-17394
3894,-15020
3895,-8467
3896,-15387
3900,-14291
3901,-16321
3902,-14486
3903,-13109
3919,-13505
3925,-14841
3926,-9622
3927,-14655
3928,-13884
3929,-13463
3939,-15931
3940,-15600
3941,-12139
3944,-13068
3945,-13375
3949,-12596
3950,-12297
3951,-15282
3953,-15443
3954,-15960
3955,-15272
3959,-14565
3963,-13086
3964,-15402
3965,-13674
3970,-14069
3971,-13703
3972,-13571
3981,-11136
3982,-13350
3983,-15667
3987,-14370
3988,-12562
3989,-15238
4010,-12865
4011,-14950
4012,-14377
4013,-14651
4014,-13772
4017,-14004
4018,-13929
4019,-14593
4029,-14587
4030,-14843
4031,-12202
4038,-14014
4039,-16333
4040,-12306
4044,-15563
4045,-16016
4046,-14095
4047,-14521
4050,-14719
4051,-13233
4052,-14254
4053,-14063
4054,-14460
4055,-14014
4059,-12468
4060,-15702
4061,-15798
4067,-16057
4068,-15173
4069,-12957
4075,-11265
4077,-12490
4084,-14828
4085,-12360
4086,-13824
4087,-14528
4090,-13803
4091,-16501
4092,-15000
4098,-15284
4099,-14830
4100,-14874
4106,-15857
4107,-14098
4108,-14280
4113,-13849
4114,-14498
4115,-14246
4118,-14870
4119,-12012
4120,-12808
4121,-12911
4122,-14507
4123,-15099
4125,-14814
4126,-14802
4127,-15153
4131,-12508
4132,-14119
4133,-11906
4134,-12452
4138,-12224
4139,-15493
4141,-10471
4142,-12940
4143,-6524
4153,-12762
4157,-7998
4167,-14232
4168,-14276
4169,-13059
4174,-14112
4175,-13412
4181,-14935
4182,-15311
4183,-15687
4189,-11741
4190,-13144
4191,-12300
4201,-14433
4202,-13510
4205,-14875
4206,-11961
4207,-12857
4214,-16143
4215,-13762
4216,-13286
4224,-14836
4225,-13221
4226,-16027
4227,-16278
4228,-13212
4229,-14395
4235,-9017
4237,-15157
4238,-13967
4239,-13630
4245,-16079
4246,-16067
4247,-14008
4255,-13511
4256,-15947
4258,-15663
4259,-14275
4260,-14049
4265,-15970
4266,-9530
4267,-14096
4272,-14964
4273,-13984
4274,-11523
4282,-13455
4285,-14033
4286,-13776
4289,-13186
4290,-13621
4292,-14282
4297,-10813
4298,-13756
4299,-15008
4300,-15003
4309,-14102
4310,-13458
4311,-14212
4319,-15648
4320,-14217
4325,-15679
4326,-14427
4327,-8634
4328,-14642
4332,-14429
4333,-15842
4337,-14899
4338,-13506
4339,-14664
4340,-15403
4341,-13913
4350,-11954
