Row Labels,Sum of Quatity
2667,-2513
2765,-2201
2766,-3203
2768,-2570
2769,-2632
2770,-2694
2781,-2298
2788,-2688
2789,-2301
2790,-2935
2791,-2510
2792,-2690
2793,-2693
2799,-2563
2800,-3259
2808,-5046
2813,-2813
2814,-2872
2815,-2425
2819,-2780
2820,-2271
2822,-1635
2823,-5201
2824,-2511
2829,-2622
2838,-1938
2839,-2723
2844,-2472
2845,-2301
2847,-988
2848,-2235
2857,-2538
2858,-2472
2859,-2835
2860,-2570
2861,-2475
2862,-2558
2870,-2442
2871,-2504
2873,-2445
2881,-2275
2882,-2692
2884,-2810
2886,-2385
2893,-2436
2894,-2905
2895,-2828
2896,-2681
2908,-2864
2919,-1573
2922,-2210
2925,-1991
2928,-2280
2929,-2638
2936,-1971
2937,-2099
2946,-2696
2948,-1636
2949,-2760
2954,-2517
2955,-2429
2960,-2880
2967,-1936
2975,-1966
2976,-2577
2981,-2606
2982,0
2988,-3240
2994,-2338
2995,-690
2999,-1467
3002,-2728
3003,-2420
3004,-2423
3010,-2518
3011,-2760
3018,-1800
3019,-2880
3026,-2213
3027,-2250
3031,-2790
3032,-2608
3033,-2880
3037,-2514
3047,-2489
3048,-2218
3049,-2160
3055,-2275
3056,-2700
3057,-2866
3059,-2820
3061,-901
3067,-4285
3069,-2938
3072,-2819
3076,-749
3077,-1560
3078,-2457
3079,-2667
3080,-2269
3081,-2280
3087,-2097
3091,-2247
3099,-2730
3105,-1950
3106,-2066
3118,-2010
3119,-1046
3120,-1941
3121,-1830
3128,-2430
3129,-540
3133,-2306
3134,-2698
3135,-2458
3136,-2730
3141,-2550
3143,-2430
3146,-2790
3147,-2460
3153,-2700
3154,-2279
3163,-2639
3164,-2579
3165,-2517
3170,-2039
3171,-2250
3174,-1259
3178,-2728
3181,-2700
3188,-2098
3191,-2669
3192,-2700
3204,-2759
3205,-2879
3206,-2638
3210,-2516
3214,-2730
3221,-2453
3230,-2909
3232,-2216
3233,-2061
3236,-690
3237,-2400
3246,-2453
3247,-2154
3248,-2880
