Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
2766    ,PL-VT28,90.00,85.305,89.072,5.872,89.264, 10.50 , 16.50 , 14.20 ,
2765    ,PL-C/P(NOODLE),90.00,85.328,87.894,4.253,87.622, 11.00 , 15.20 , 13.50 ,
2772    ,PL-VT34,90.00,85.334,89.02,5.669,90.451, 10.90 , 15.90 , 13.90 ,
2769    ,PL-DNS(BREAD),70.00,67.188,68.101,4.043,70.021, - , 15.20 , 13.90 ,
2770    ,PL-VT28,90.00,85.285,90.088,4.367,87.263, 10.60 , - , 13.10 ,
2780    ,PL-VT28,80.00,75.292,76.743,4.36,77.784, - , 15.60 , 13.10 ,
2768    ,PL-APW10.5%,90.00,84.778,86.645,3.983,83.771, 10.20 , 14.90 , 13.30 ,
2781    ,PL-VT28,80.00,74.402,76.369,4.303,76.641, 10.40 , 15.80 , 12.80 ,
2788    ,PL-C/P 2,90.00,86.253,89.274,4.446,88.768, - , 15.10 , 12.90 ,
2789    ,PL-ASW,80.00,81.181,82.402,4.748,83.765, - , 15.00 , 13.45 ,
2790    ,PL-VT28,80.00,80.306,82.345,4.713,83.254, 10.65 , - , 13.00 ,
2791    ,PL-VT28(FOOD),90.00,85.233,86.886,4.724,87.560, 10.80 , - , 13.10 ,
2792    ,PL-DNS(BREAD),80.00,72.481,73.842,3.002,72.443, 11.20 , 15.25 , 13.20 ,
2793    ,PL-VT28,80.00,75.254,76.667,4.420,77.982, 10.80 , - , 12.70 ,
2799    ,PL-APW10.5%,90.00,82.578,84.941,4.268,82.396,10.30, 14.90 , 12.90 ,
2800    ,PL-VT28,80.00,75.295,77.133,4.143,77.655, - , 14.80 , 12.80 ,
2801    ,PL-VT28,80.00,68.834,70.561,3.589,69.561, - , 15.20 , 12.80 ,
