Process	Line	Date	Start_Time	End_Time	Total_Time	Group
MILLING	A	07/01/2022	22:21	22:41	20	11
MILLING	A	07/01/2022	22:49	23:05	16	6
MILLING	A	08/01/2022	6:05	6:14	9	6
MILLING	A	08/01/2022	10:33	10:54	21	6
MILLING	A	08/01/2022	11:37	11:53	16	6
MILLING	A	10/01/2022	8:50	9:30	40	6
MILLING	A	11/01/2022	10:19	10:25	6	6
MILLING	A	12/01/2022	19:41	19:53	12	6
MILLING	A	13/01/2022	18:43	18:53	10	6
MILLING	A	14/01/2022	18:27	18:34	7	6
MILLING	A	17/01/2022	12:29	12:34	5	6
MILLING	A	18/01/2022	8:52	8:56	4	6
MILLING	A	18/01/2022	11:08	11:38	30	11
MILLING	A	20/01/2022	13:13	13:18	5	6
MILLING	A	20/01/2022	2:46	2:50	4	6
MILLING	A	20/01/2022	5:27	5:32	5	6
MILLING	A	22/01/2022	2:47	2:59	12	6
MILLING	A	23/01/2022	2:44	2:49	5	6
MILLING	A	25/01/2022	1:22	1:26	4	6
MILLING	A	25/01/2022	2:17	2:23	6	6
MILLING	A	25/01/2022	8:52	8:57	5	6
MILLING	A	25/01/2022	9:13	9:17	4	6
MILLING	A	26/01/2022	3:15	3:51	36	6
MILLING	A	27/01/2022	12:36	12:50	14	6
MILLING	A	28/01/2022	9:04	10:07	63	6
MILLING	A	28/01/2022	10:29	11:11	42	6
MILLING	A	28/01/2022	23:40	0:00	20	2
MILLING	A	29/01/2022	0:01	10:40	639	2
MILLING	A	29/01/2022	11:24	12:02	38	2
MILLING	A	29/01/2022	14:58	15:22	24	2
MILLING	A	31/01/2022	11:02	11:29	27	11
MILLING	A	04/02/2022	8:35	8:39	4	6
MILLING	A	04/02/2022	13:01	15:33	152	11
MILLING	A	04/02/2022	23:35	23:40	5	6
MILLING	A	05/02/2022	8:47	8:52	5	6
MILLING	A	05/02/2022	9:20	9:23	3	6
MILLING	A	05/02/2022	16:11	16:15	4	11
MILLING	A	05/02/2022	4:28	8:00	212	2
MILLING	A	07/02/2022	8:00	9:46	106	6
MILLING	A	07/02/2022	10:15	10:20	5	6
MILLING	A	08/02/2022	8:48	9:32	44	6
MILLING	A	10/02/2022	15:19	15:23	4	6
MILLING	A	11/02/2022	8:00	8:30	30	6
MILLING	A	11/02/2022	11:14	17:00	346	11
MILLING	A	11/02/2022	0:02	0:16	14	11
MILLING	A	11/02/2022	0:39	0:43	4	11
MILLING	A	14/02/2022	9:41	9:46	5	6
MILLING	A	14/02/2022	9:50	10:04	14	6
MILLING	A	14/02/2022	10:54	10:59	5	6
MILLING	A	14/02/2022	18:22	18:27	5	11
MILLING	A	14/02/2022	0:36	0:41	5	11
MILLING	A	16/02/2022	8:00	9:55	115	11
MILLING	A	17/02/2022	5:37	8:00	143	11
MILLING	A	18/02/2022	23:00	2:00	180	11
MILLING	A	19/02/2022	15:49	15:51	2	6
MILLING	A	19/02/2022	5:39	5:44	5	11
MILLING	A	24/02/2022	8:31	9:11	40	6
MILLING	A	25/02/2022	10:36	10:39	3	6
MILLING	A	25/02/2022	11:30	11:40	10	6
MILLING	A	26/02/2022	14:10	14:17	7	11
MILLING	A	03/03/2022	17:30	19:00	90	6
MILLING	A	03/03/2022	1:20	1:24	4	6
MILLING	A	05/03/2022	23:26	23:31	5	6
MILLING	A	07/03/2022	14:32	14:36	4	11
MILLING	A	08/03/2022	14:07	14:54	47	11
MILLING	A	08/03/2022	23:27	23:33	6	6
MILLING	A	08/03/2022	23:46	23:50	4	6
MILLING	A	08/03/2022	4:05	4:35	30	11
MILLING	A	08/03/2022	5:00	8:00	180	11
MILLING	A	09/03/2022	8:00	9:00	60	6
MILLING	A	09/03/2022	9:10	9:33	23	6
MILLING	A	09/03/2022	3:33	3:37	4	6
MILLING	A	09/03/2022	3:49	3:54	5	6
MILLING	A	09/03/2022	4:07	4:12	5	6
MILLING	A	10/03/2022	18:05	18:11	6	11
MILLING	A	10/03/2022	2:38	2:43	5	6
MILLING	A	10/03/2022	3:46	3:49	3	6
MILLING	A	11/03/2022	8:52	14:20	328	6
MILLING	A	14/03/2022	5:55	6:11	16	6
MILLING	A	16/03/2022	8:00	9:00	60	6
MILLING	A	16/03/2022	10:23	10:27	4	6
MILLING	A	16/03/2022	10:42	10:46	4	6
MILLING	A	16/03/2022	23:53	0:09	16	6
MILLING	A	17/03/2022	8:12	8:36	24	4
MILLING	A	18/03/2022	0:07	0:15	8	6
MILLING	A	18/03/2022	3:12	3:18	6	6
MILLING	A	19/03/2022	9:07	9:11	4	6
MILLING	A	19/03/2022	10:56	11:07	11	11
MILLING	A	19/03/2022	2:30	8:00	330	6
MILLING	A	22/03/2022	13:30	17:00	210	6
MILLING	A	23/03/2022	23:48	23:53	5	6
MILLING	A	23/03/2022	5:38	5:41	3	6
MILLING	A	24/03/2022	8:47	8:52	5	6
MILLING	A	25/03/2022	0:51	0:55	4	6
MILLING	A	25/03/2022	2:14	2:18	4	6
MILLING	A	28/03/2022	8:00	9:35	95	6
MILLING	A	28/03/2022	5:51	6:48	57	6
MILLING	A	29/03/2022	9:44	9:48	4	6
MILLING	A	29/03/2022	14:01	14:06	5	6
MILLING	A	29/03/2022	17:43	17:49	6	6
MILLING	A	29/03/2022	0:44	0:53	9	6
MILLING	A	29/03/2022	3:28	3:32	4	6
MILLING	A	30/03/2022	8:31	8:45	14	6
MILLING	A	30/03/2022	11:11	11:18	7	6
MILLING	A	30/03/2022	14:27	14:31	4	6
MILLING	A	30/03/2022	15:25	16:40	75	6
MILLING	A	30/03/2022	3:05	3:11	6	4
MILLING	A	30/03/2022	5:21	5:26	5	6
MILLING	A	31/03/2022	14:26	14:49	23	6
MILLING	A	31/03/2022	16:53	16:58	5	6
MILLING	A	01/04/2022	14:30	15:11	41	6
MILLING	A	04/04/2022	8:00	13:52	352	1
MILLING	A	04/04/2022	17:54	18:23	29	6
CLEANING	A	05/04/2022	14:40	16:00	80	1
MILLING	A	06/04/2022	13:30	13:55	25	6
MILLING	A	06/04/2022	10:50	11:04	14	6
MILLING	A	07/04/2022	9:06	9:16	10	6
MILLING	A	07/04/2022	15:54	16:14	20	6
MILLING	A	08/04/2022	9:29	9:55	26	6
MILLING	A	08/04/2022	16:51	17:01	10	6
MILLING	A	09/04/2022	11:00	12:44	104	4
MILLING	A	19/04/2022	4:20	4:39	19	6
MILLING	A	20/04/2022	8:21	9:11	50	6
MILLING	A	20/04/2022	11:57	12:25	28	6
MILLING	A	20/04/2022	14:21	15:07	46	6
MILLING	A	28/04/2022	15:17	15:33	16	1
MILLING	A	29/04/2022	23:04	23:18	14	6
MILLING	A	30/04/2022	12:26	12:55	29	6
MILLING	A	04/05/2022	15:41	16:10	29	6
MILLING	A	05/05/2022	4:13	4:25	12	6
MILLING	A	14/05/2022	22:11	22:30	19	6
MILLING	A	14/05/2022	21:06	21:43	37	6
MILLING	A	18/05/2022	18:56	20:13	77	6
MILLING	A	19/05/2022	7:26	7:40	14	6
MILLING	A	19/05/2022	8:19	8:47	28	6
MILLING	A	19/05/2022	4:42	5:00	18	6
MILLING	A	21/05/2022	9:45	10:05	20	6
MILLING	A	23/05/2022	14:30	15:29	59	6
MILLING	A	23/05/2022	15:37	15:48	11	6
MILLING	A	26/05/2022	12:30	12:47	17	6
MILLING	A	26/05/2022	15:30	16:00	30	6
MILLING	A	27/05/2022	0:18	1:31	73	6
MILLING	A	28/05/2022	10:17	10:40	23	6
MILLING	A	30/05/2022	21:26	21:43	17	6
MILLING	A	31/05/2022	5:05	6:01	56	6
MILLING	A	02/06/2022	14:58	15:12	14	6
MILLING	A	03/06/2022	14:47	16:16	89	6
MILLING	A	04/06/2022	6:32	7:15	43	6
MILLING	A	04/06/2022	4:25	4:37	12	6
MILLING	A	08/06/2022	11:57	12:10	13	6
MILLING	A	08/06/2022	22:09	23:16	67	4
MILLING	A	09/06/2022	0:36	1:20	44	6
MILLING	A	09/06/2022	1:59	2:23	24	6
MILLING	A	10/06/2022	2:29	3:06	37	6
MILLING	A	10/06/2022	5:23	5:37	14	6
MILLING	A	11/06/2022	10:14	10:30	16	6
MILLING	A	11/06/2022	15:07	15:20	13	6
MILLING	A	11/06/2022	23:16	23:26	10	6
MILLING	A	12/06/2022	3:12	4:57	105	6
MILLING	A	13/06/2022	8:00	9:00	60	6
MILLING	A	13/06/2022	14:34	14:46	12	6
MILLING	A	14/06/2022	17:11	17:21	10	4
MILLING	A	14/06/2022	18:04	18:26	22	6
MILLING	A	15/06/2022	5:50	9:00	190	6
MILLING	A	15/06/2022	11:42	12:08	26	6
MILLING	A	15/06/2022	14:23	15:06	43	4
MILLING	A	20/06/2022	8:06	8:19	13	6
MILLING	A	22/06/2022	1:42	2:00	18	6
MILLING	A	02/08/2022	5:05	5:40	35	6
MILLING	A	10/08/2022	8:29	8:56	27	6
MILLING	A	11/08/2022	18:40	20:00	80	1
MILLING	A	18/08/2022	20:32	20:47	15	2
MILLING	A	19/08/2022	8:21	8:43	22	4
MILLING	A	19/08/2022	20:12	20:00	"1,428"	1
MILLING	A	19/08/2022	20:00	23:59	239	1
MILLING	A	20/08/2022	0:00	1:00	60	1
MILLING	A	20/08/2022	1:00	8:00	420	1
MILLING	A	20/08/2022	8:00	12:00	240	1
MILLING	A	24/08/2022	11:52	12:06	14	6
MILLING	A	24/08/2022	21:38	22:08	30	5
MILLING	A	26/08/2022	0:36	2:50	134	2
MILLING	A	29/08/2022	19:07	19:18	11	6
MILLING	A	30/08/2022	1:36	2:28	52	1
MILLING	A	01/10/2022	8:01	8:34	33	2
MILLING	A	02/10/2022	14:17	14:32	15	6
MILLING	A	05/10/2022	8:07	8:24	17	6
MILLING	A	06/10/2022	14:00	18:00	240	2
MILLING	A	13/10/2022	17:44	18:15	31	6
MILLING	A	14/10/2022	17:36	18:06	30	6
MILLING	A	14/10/2022	19:21	19:32	11	6
MILLING	A	15/10/2022	23:00	1:30	150	2
MILLING	A	15/10/2022	1:55	1:59	4	2
MILLING	A	15/10/2022	3:09	4:50	101	2
MILLING	A	19/10/2022	15:45	16:09	24	6
MILLING	A	20/10/2022	12:00	14:10	130	4
MILLING	A	24/10/2022	0:41	0:51	10	6
MILLING	A	26/10/2022	12:15	15:15	180	6
MILLING	A	27/10/2022	13:21	13:52	31	2
MILLING	A	28/10/2022	13:37	13:57	20	6
