Row Labels,Sum of Quatity
2667,-52
2765,-11992
2768,-5512
2769,-3405
2788,-5256
2789,-5317
2791,-7225
2792,-3440
2799,-7123
2815,-4330
2820,-5280
2822,-11905
2824,-6300
2829,-4821
2838,-10776
2839,-2323
2848,-3766
2857,-4665
2858,-4633
2860,-3320
2861,-4149
2862,-3763
2870,-11517
2871,-10558
2873,-3908
2886,-3588
2893,-5723
2895,-34
2896,-3965
2919,-3922
2922,-4981
2925,-3725
2928,-3541
2936,-6652
2937,-5054
2946,-979
2948,-10513
2949,-3946
2954,-6490
2967,-10531
2975,-5149
2976,-4081
2981,-3670
2982,-4010
2999,-12451
3002,-5002
3003,-5636
3004,-4492
3010,-6813
3011,-3728
3026,-15395
3031,-4046
3032,-3419
3037,-3670
3047,-4233
3048,-5011
3055,-10537
3056,-3442
3067,-4087
3068,-3262
3072,-3494
3078,-5223
3079,-3695
3080,-4183
3081,-3545
3087,-6094
3091,-12448
3099,-8175
3106,-3028
3118,-4113
3120,-7056
3121,-4094
3133,-12214
3134,-4765
3135,-4338
3141,-6045
3153,-4212
3154,-12457
3155,-2420
3163,-3252
3164,-5217
3165,-3395
3170,-3840
3181,-3805
3188,-12334
3191,-6085
3205,-3671
3210,-5004
3221,-2600
3233,-16152
3236,-3878
3246,-4808
3247,-12581
3256,-3443
3257,-4123
3265,-3927
3268,-6425
3269,-2821
3274,-6671
3282,-5232
3283,-3490
3291,-7798
3292,-3104
3293,-3631
3294,-2250
3298,-3982
3299,-13672
3304,-6188
3319,-14970
3320,-3397
3333,-3359
3339,-15534
3340,-5562
3344,-3870
3345,-2710
3349,-4241
3350,-18184
3356,-3618
3357,-4724
3366,-3958
3375,-11180
3383,-3451
3393,-3214
3400,-15421
3401,-4534
3406,-3324
3407,-15465
3411,-3277
3420,-3806
3426,-15741
3427,-3869
3434,-15673
3442,-2141
3464,-6299
3465,-16155
3471,-9048
3478,-1880
3479,-4280
3488,-3303
3489,-5389
3508,-13273
3509,-2638
3516,-1312
3518,-5247
3525,-4331
3540,-15438
3541,-4072
3542,-2406
3550,-2794
3556,-3783
3557,-4950
3568,-14514
3569,-4769
3577,-2932
3592,-6262
3593,-14088
3594,-4750
3602,-3277
3613,-4020
3621,-4047
3627,-2095
3636,-13673
3642,-3475
3643,-2487
3653,-4970
3655,-3520
3656,-4415
3657,-12882
3675,-5872
3676,-12804
3677,-2687
3683,-6116
3684,-3455
3694,-4021
3701,-5208
3706,-4262
3710,-13806
3713,-12591
3714,-3406
3727,-3204
3728,-3858
3730,-5127
3734,-12505
3739,-4212
3759,-13685
3762,-12221
3774,-6042
3775,-3904
3776,-2373
3777,-17
3790,-5583
3791,-3291
3795,-4201
3810,-13534
3811,-4767
3812,-2504
3818,-4004
3835,-12317
3836,-6035
3837,-3995
3849,-12686
3866,-10976
3867,-3963
3874,-3956
3875,-4200
3881,-3690
3884,-9566
3887,-10182
3896,-4168
3900,-11128
3901,-6871
3902,-6439
3903,-6871
3927,-12592
3928,-5373
3939,-15719
3940,-6396
