Row Labels,Sum of Quatity
2667,-69808
2765,-56414
2766,-75497
2768,-59832
2769,-47166
2770,-73501
2772,-76326
2780,-62550
2781,-64386
2788,-62392
2789,-58575
2790,-70371
2791,-59864
2792,-50673
2793,-65961
2799,-56595
2800,-67550
2801,-58023
2808,-69764
2809,-68020
2810,-66651
2813,-68372
2814,-76456
2815,-62939
2819,-67319
2820,-59503
2822,-55263
2823,-66846
2824,-59816
2829,-63255
2838,-57883
2839,-35276
2844,-72759
2845,-73866
2847,-64994
2848,-61407
2857,-52580
2858,-60953
2859,-67054
2860,-47725
2861,-33007
2862,-62925
2870,-59513
2871,-60528
2873,-61777
2881,-63072
2882,-72060
2884,-64595
2885,-62571
2886,-57579
2887,-65034
2893,-62953
2894,-70542
2895,-67805
2896,-61902
2908,-72792
2909,-77157
2919,-69773
2922,-57946
2925,-62536
2928,-67645
2929,-79215
2936,-60975
2937,-68479
2946,-11904
2948,-53910
2949,-60767
2954,-59220
2955,-65370
2960,-66708
2961,-66378
2967,-54440
2968,-79353
2969,-71936
2975,-43701
2976,-68755
2981,-56759
2982,-66318
2988,-73243
2989,-75156
2994,-70517
2995,-63199
2999,-53047
3001,-62016
3002,-69527
3003,-59915
3004,-57021
3010,-58960
3011,-57954
3018,-73033
3019,-65040
3026,-49199
3027,-67237
3028,-61472
3031,-58048
3032,-58316
3033,-62250
3037,-40878
3038,-70233
3039,-71071
3047,-67064
3048,-46620
3049,-65929
3055,-44129
3056,-50760
3057,-72035
3059,-73820
3060,-64154
3061,-63120
3067,-59790
3068,-42621
3069,-62789
3072,-58641
3075,-70290
3076,-126590
3077,-3130
3078,-68529
3079,-62710
3080,-61110
3081,-63379
3087,-51288
3091,-54614
3099,-63468
3105,-74319
3106,-43032
3118,-65549
3119,-64189
3120,-55199
3121,-62249
3128,-65390
3129,-68179
3133,-56728
3134,-63647
3135,-53760
3136,-64219
3141,-55199
3142,-63290
3143,-64910
3145,-63889
3146,-58904
3147,-63000
3153,-56279
3154,-55109
3155,-32160
3163,-50278
3164,-58253
3165,-61488
3170,-60780
3171,-65359
3174,-60162
3178,-76105
3180,-72855
3181,-56520
3187,-74468
3188,-55199
3191,-60119
3192,-74078
3202,-62759
3203,-67830
3204,-70250
3205,-57930
3206,-60240
3210,-57181
3211,-65069
3212,-61859
3214,-71117
3218,-61800
3219,-71553
3221,-58266
3222,-70499
3223,-70345
3224,-71925
3230,-72022
3232,-106193
3233,-55169
3236,-53518
3237,-71840
3238,-72868
3246,-53478
3247,-55950
3248,-66459
3256,-58968
3257,-60960
3258,-70197
3265,-57779
3268,-24119
3269,-31378
3270,-66376
3271,-59849
3274,-63233
3275,-63539
3276,-68538
3281,-63503
3282,-59453
3283,-52708
3291,-29879
3292,-35700
3293,-54099
3294,-61123
3298,-59519
3299,-52220
3300,-83021
3304,-60493
3305,-64128
3306,-68630
3310,-69949
3314,-60305
3315,-126804
3319,-55628
3320,-31318
3321,-62810
3332,-71158
3333,-49560
3339,-54437
3340,-52617
3344,-59521
3345,-70071
3346,-69375
3348,-62559
3349,-52218
3350,-52162
3356,-64003
3357,-57770
3358,-62455
3366,-58241
3367,-70036
3368,-66944
3375,-35027
3376,-78078
3377,-61951
3383,-50219
3384,-75910
3385,-67568
3387,-71905
3388,-69686
3391,-67470
3392,-67319
3393,-65333
3400,-48473
3401,-53305
3402,-62624
3406,-50190
3407,-53069
3408,-64279
3411,-48745
3412,-60496
3413,-63394
3420,-56893
3421,-66118
3422,-61920
3425,-66211
3426,-54419
3427,-55740
3431,-65339
3432,-64097
3433,-61142
3434,-53938
3437,-69442
3438,-63355
3441,-64969
3442,-25027
3452,-71365
3453,-69780
3454,-74794
3455,-62609
3456,-63121
3457,-69144
3464,-68821
3465,-51083
3466,-63629
3471,-53193
3472,-72203
3478,-34277
3479,-58625
3480,-70712
3488,-34686
3489,-55010
3490,-49522
3501,-67406
3502,-65325
3507,-131602
3508,-43443
3509,-62266
3510,-66884
3516,-12649
3517,-63710
3518,-60373
3525,-61329
3526,-70061
3533,-50899
3540,-52586
3541,-44898
3542,-42236
3543,-65411
3546,-74119
3547,-72494
3550,-70453
3551,-76812
3556,-57351
3557,-54999
3568,-53061
3569,-52346
3575,-74025
3576,-61037
3577,-52741
3583,-72784
3584,-63717
3585,-66759
3587,-70157
3588,-64022
3590,-68444
3591,-56529
3592,-63140
3593,-55127
3594,-49645
3595,-70717
3602,-66297
3603,-64171
3613,-59391
3619,-60681
3620,-64480
3621,-58428
3625,-70057
3626,-66504
3627,-39592
3629,-71471
3630,-71000
3636,-54059
3637,-76011
3638,-75527
3639,-64999
3642,-58230
3643,-55916
3653,-53560
3655,-62999
3656,-55738
3657,-55562
3660,-66624
3661,-68278
3664,-67884
3665,-66106
3675,-60354
3676,-55343
3677,-46290
3678,-77743
3683,-61199
3684,-49649
3693,-77224
3694,-59368
3701,-52194
3703,-76179
3704,-80591
3706,-59096
3707,-63626
3708,-62549
3710,-54689
3711,-74317
3712,-57598
3713,-49400
3714,-53216
3715,-71187
3727,-64157
3728,-59460
3729,-34853
3730,-53500
3734,-53929
3735,-66231
3739,-61402
3740,-65935
3741,-50844
3749,-53690
3750,-60784
3756,-65120
3757,-66173
3758,-2500
3759,-54771
3760,-66158
3761,-64647
3762,-46348
3763,-64119
3764,-69864
3774,-55943
3775,-58156
3776,-40384
3777,-55483
3778,-70121
3781,-65340
3782,-66249
3786,-72982
3790,-60120
3791,-51880
3792,-63667
3795,-59706
3796,-68519
3797,-67904
3804,-48887
3805,-72982
3810,-53892
3811,-57355
3812,-62196
3818,-29992
3827,-755720
3830,-794100
3835,-54439
3836,-58299
3837,-55377
3838,-68794
3849,-53500
3850,-69651
3851,-60060
3858,-73162
3859,-76429
3860,-67279
3866,-47503
3867,-60475
3868,-73499
3874,-45923
3875,-59698
3876,-76213
3881,-41206
3882,-70493
3883,-70136
3884,-40382
3885,-66947
3886,-60365
3887,-40640
3888,-70790
3889,-74040
3894,-63263
3895,-35501
3896,-59008
3900,-48684
3901,-56369
3902,-58932
3903,-59747
3913,-880800
3919,-67170
3925,-65879
3926,-45512
3927,-56686
3928,-49295
3929,-68560
3939,-56456
3940,-58151
3941,-61210
