PO,MaterialNO,MaterialDescription,Batch,Date,Movementtype,Storagelocation,Qtyinbaseun.+sign(MEINS),Quantity(/CWM/MEINS),Quantity,Note
2667,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2210270008,12/07/2022,261,3103,23383,0,23383,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,12/07/2022,261,3101,1089.58,0,1089.58,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,12/07/2022,261,3101,27685,0,27685,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250003,12/07/2022,261,3101,22018.1,0,22018.1,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,12/07/2022,261,3101,4022.32,0,4022.32,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205170011,12/07/2022,261,3101,23662.6,0,23662.6,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205170012,12/07/2022,261,3101,844.4,0,844.4,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,12/07/2022,261,3101,1089.58,0,1089.58,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,12/07/2022,261,3101,24265.42,0,24265.42,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,12/07/2022,261,3105,17271.5,0,17271.5,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270010,12/07/2022,261,3105,21311.5,0,21311.5,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280002,12/07/2022,261,3105,15345.1,0,15345.1,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280003,12/07/2022,261,3105,886.9,0,886.9,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,12/07/2022,261,3105,4953,0,4953,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,12/07/2022,262,3101,-1089.58,0,-1089.58,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,12/07/2022,262,3101,-27685,0,-27685,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250003,12/07/2022,262,3101,-22018.1,0,-22018.1,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,12/07/2022,262,3101,-4022.32,0,-4022.32,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,12/07/2022,262,3105,-17271.5,0,-17271.5,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270010,12/07/2022,262,3105,-21311.5,0,-21311.5,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280002,12/07/2022,262,3105,-15345.1,0,-15345.1,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280003,12/07/2022,262,3105,-886.9,0,-886.9,1
2667,3100000011,PL-VT28,221208001A,12/08/2022,101,3402,-61919,0,-61919,
2667,3100000011,PL-VT28,221208001A,12/08/2022,101,3402,-7889,0,-7889,Start up flour (GR)
2667,3100000024,F3-LOW,221208001A,12/08/2022,101,3403,-52,0,-52,
2667,3100000074,WHEAT BRAN,221208001A,12/08/2022,101,4601,-13557,0,-13557,
2667,3100000080,Start up flour,221208001A,12/08/2022,101,3921,-2513,0,-2513,
2667,3100000080,Cleaning Flour,221207001A,12/08/2022,261,3921,878,0,878,Start up flour (GI)
2667,3100000080,Cleaning Flour,221207002A,12/08/2022,261,3921,2456,0,2456,Start up flour (GI)
2667,3100000080,Cleaning Flour,221207003A,12/08/2022,261,3921,2659,0,2659,Start up flour (GI)
2667,3100000080,Cleaning Flour,221207004A,12/08/2022,261,3921,1896,0,1896,Start up flour (GI)
2667,3100000096,WIP,2211040021,12/08/2022,261,3001,100,2250,2250,REPROCESS
2667,3100000096,WIP,2212030020,12/08/2022,261,3001,3,67.5,67.5,REPROCESS
2667,3100000096,WIP,2212030030,12/08/2022,261,3001,10,225,225,REPROCESS
2667,3100000096,WIP,2212030040,12/08/2022,261,3001,10,225,225,REPROCESS
2667,3100000096,WIP,2212060010,12/08/2022,261,3001,9,202.5,202.5,REPROCESS
2667,3100000096,WIP,2211040021,12/08/2022,261,3001,100,2250,2250,REPROCESS
2667,3100000096,WIP,2211040021,12/08/2022,262,3001,-100,-2250,-2250,REPROCESS
2667,3100000117,WIP,2211300010,12/08/2022,261,3001,308.87,0,308.87,REPROCESS
2667,3100000117,WIP,2212010010,12/08/2022,261,3001,136,0,136,REPROCESS
2667,3100000117,WIP,2212020010,12/08/2022,261,3001,113,0,113,REPROCESS
2667,3100000117,WIP,2212070020,12/08/2022,261,3001,109.59,0,109.59,REPROCESS
2667,3100000011,PL-VT28,221208001A,12/09/2022,101,3402,-7889,0,-7889,Start up flour (GR)
2667,3100000011,PL-VT28,221208001A,12/09/2022,102,3402,7889,0,7889,Start up flour (GR)
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,01/04/2023,261,3101,34711.45,0,34711.45,1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,01/04/2023,261,3101,24280.55,0,24280.55,1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,01/04/2023,261,3101,2476,0,2476,1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,01/04/2023,261,3101,25665.45,0,25665.45,
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,01/04/2023,261,3101,1199.55,0,1199.55,
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,01/04/2023,261,3102,21646,0,21646,
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,01/04/2023,261,3102,12957,0,12957,
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,01/04/2023,262,3101,-34711.45,0,-34711.45,1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,01/04/2023,262,3101,-24280.55,0,-24280.55,1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,01/04/2023,262,3101,-2476,0,-2476,1
2765,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210060005,01/04/2023,261,3104,26426,0,26426,1
2765,3100000002,PL-C/P (NOODLE),230105001A,01/05/2023,101,3410,-56414,0,-56414,
2765,3100000025,F3-HIGH,230105001A,01/05/2023,101,3404,-11992,0,-11992,
2765,3100000074,WHEAT BRAN,230105001A,01/05/2023,101,4601,-15425,0,-15425,
2765,3100000074,WHEAT BRAN,230105002A,01/05/2023,101,4601,-15425,0,-15425,
2765,3100000074,WHEAT BRAN,230105002A,01/05/2023,102,4601,15425,0,15425,
2765,3100000080,Start up flour,230105001A,01/05/2023,101,3921,-2201,0,-2201,
2765,3100000096,WIP,2212220031,01/05/2023,261,3001,34,765,765,REPROCESS
2766,3100000011,PL-VT28,230104001A,01/04/2023,101,3402,-66296,0,-66296,
2766,3100000011,PL-VT28,230104001A,01/04/2023,101,3402,-9201,0,-9201,Start up flour (GR)
2766,3100000074,WHEAT BRAN,230104001A,01/04/2023,101,4601,-14980,0,-14980,
2766,3100000080,Start up flour,230104001A,01/04/2023,101,3921,-3203,0,-3203,
2766,3100000080,Cleaning Flour,221224001A,01/04/2023,261,3921,1195,0,1195,Start up flour (GI)
2766,3100000080,Cleaning Flour,221224002A,01/04/2023,261,3921,3965,0,3965,Start up flour (GI)
2766,3100000080,Cleaning Flour,230104001A,01/04/2023,261,3921,3203,0,3203,Start up flour (GI)
2766,3100000080,Cleaning Flour,230105001A,01/04/2023,261,3921,838,0,838,Start up flour (GI)
2766,3100000117,WIP,2212260010,01/04/2023,261,3001,113,0,113,REPROCESS
2766,3100000117,WIP,2212270020,01/04/2023,261,3001,56.43,0,56.43,REPROCESS
2766,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010004,01/04/2023,261,3102,25864.85,0,25864.85,
2766,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,01/04/2023,261,3102,914.15,0,914.15,
