Order,Material,Material Description,Batch,Posting Date,Movement type,Storage location,Qty in base un. + sign (MEINS),Quantity (/CWM/MEINS),Quatity,Unloading Point
2667,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2210270008,22-12-07,261,3103,"23,383.000",0.000,"23,383.000",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,22-12-07,261,3101,"1,089.580",0.000,"1,089.580",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,22-12-07,261,3101,"27,685.000",0.000,"27,685.000",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250003,22-12-07,261,3101,"22,018.100",0.000,"22,018.100",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,22-12-07,261,3101,"4,022.320",0.000,"4,022.320",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205170011,22-12-07,261,3101,"23,662.600",0.000,"23,662.600",
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205170012,22-12-07,261,3101,844.400,0.000,844.400,
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,22-12-07,261,3101,"1,089.580",0.000,"1,089.580",
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,22-12-07,261,3101,"24,265.420",0.000,"24,265.420",
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,22-12-07,261,3105,"17,271.500",0.000,"17,271.500",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270010,22-12-07,261,3105,"21,311.500",0.000,"21,311.500",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280002,22-12-07,261,3105,"15,345.100",0.000,"15,345.100",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280003,22-12-07,261,3105,886.900,0.000,886.900,1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,22-12-07,261,3105,"4,953.000",0.000,"4,953.000",
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250001,22-12-07,262,3101,"-1,089.580",0.000,"-1,089.580",1
