Material,Materialdescription,Price
1310000139    ,RM-MSG-MONOSODIUM   GLUTAMATE,116.11
1310000142    ,RM-NCL-SALT,0
1310000214    ,RM-TPC-TAPIOCA,0
3000000004    ,PK-BAKERTIME 22.5KG PP WV BAG,6.85
3000000005    ,PK-GOLDENTIME 22.5KG PP WV BAG,6.88
3000000006    ,PK-HAPPYTIME 22.5KG PP WV BAG,7.5
3000000007    ,PK-HAPPYTIME PATONGKO 22.5KG PP WV BAG,6.65
3000000008    ,PK-HAPPYTIME PIZZA 22.5KG PP WV BAG,0
3000000009    ,PK-PARTYTIME 22.5KG PP WV BAG,7.49
3000000010    ,PK-PARTYTIME PIZZA 22.5KG PP WV BAG,7.7
3000000011    ,PK-PRIMETIME 22.5KG PP WV BAG,0
3000000012    ,PK-VITAL 25KG PP WV BAG,0
3000000027    ,PK-BAKER'STIME 1KG CARTON,0
3000000028    ,PK-BAKER'STIME 2KG CARTON,0
3000000029    ,PK-GOLDENTIME 1KG CARTON,0
3000000030    ,PK-GOLDENTIME 2KG CARTON,0
3000000031    ,PK-HAPPYTIME 1KG CARTON,0
3000000032    ,PK-HAPPYTIME 2KG CARTON,0
3000000033    ,PK-PARTYTIME 1KG CARTON,0
3000000034    ,PK-PARTYTIME 2KG CARTON,0
3000000035    ,PK-PRIMETIME 1KG CARTON,0
3000000036    ,PK-PRIMETIME 2KG CARTON,0
3000000037    ,PK-SNOWFLAKE 1KG CARTON,0
3000000038    ,PK-SNOWFLAKE 2KG CARTON,0
3000000039    ,PK-HAPPYTIME ALLPURPOSE1 L ROLL 1KG 1500,"7,422.47"
3000000040    ,PK-BAKERTIME ALLPURPOSE1 L ROLL 1KG 1500,"7,508.66"
3100000001    ,Flour-Bread1,17.82
3100000002    ,Flour-Noodle1,18.81
3100000003    ,Flour-Noodle2,0
3100000004    ,Flour-Cookie1,14.66
3100000005    ,Flour-Cake1,0
3100000006    ,Flour-Cake2,13.85
3100000007    ,Flour-Bread3,15.26
3100000008    ,Flour-Cookie2,16.26
3100000009    ,Flour-Cake3,0
3100000010    ,Flour-Salapao,0
3100000011    ,Flour-Feed1,14.97
3100000012    ,Flour-Feed2,15.81
3100000013    ,Flour-Feed3,15.97
3100000014    ,Flour-Feed4,16.06
3100000015    ,Flour-Feed5,15.01
3100000016    ,Flour-Feed6,0
3100000017    ,Flour-Feed7,0
3100000018    ,Flour-CrispyFlour1,18.03
3100000019    ,Flour-FriedChicken1,16.93
3100000020    ,Flour-CrispyFlour2,19.89
3100000021    ,Flour-FriedChicken2,0
3100000022    ,Flour-Bread4,15.16
3100000023    ,Flour-Bread5,16.56
3100000024    ,F3-LOW,13.13
