Material,Material description,Country,Protein,Protien_Type,Price
3200000001,AUSTRALIAN HARD 13%,AUSTRALIAN,13,HIGH,0.00
3200000002,AUSTRALIAN HARD 12%,AUSTRALIAN,12,LOW,0.00
3200000003,AUSTRALIAN PRIME HARD 14%,AUSTRALIAN,14,HIGH,16.47
3200000004,AUSTRALIAN PRIME HARD 13.5%,AUSTRALIAN,13.5,HIGH,20.06
3200000005,AUSTRALIAN PRIME HARD 13%,AUSTRALIAN,13,LOW,0.00
3200000006,AUSTRALIAN PREMIUM WHITE 10.5%,AUSTRALIAN,10.5,LOW,11.83
3200000007,AUSTRALIAN STANDARD WHITE 10%,AUSTRALIAN,10,HIGH,11.56
3200000008,CANADA WESTERN RED SPRING 13.5%,CANADA,13.5,LOW,13.95
3200000009,CANADA WESTERN RED SPRING 12.5%,CANADA,12.5,LOW,9.43
3200000010,DARK NORTHERN SPRING 15%,AMERICA,15,HIGH,0.00
3200000011,DARK NORTHERN SPRING 14.5%,AMERICA,14.5,HIGH,15.68
3200000012,DARK NORTHERN SPRING 14%,AMERICA,14,HIGH,15.11
3200000013,HARD RED WINTER 12%,AMERICA,12,LOW,0.00
3200000014,HARD RED WINTER 11.5%,AMERICA,11.5,LOW,9.73
3200000015,NORTHERN SPRING 14.5%,AMERICA,14.5,HIGH,20.53
3200000016,NORTHERN SPRING 14%,AMERICA,14,HIGH,13.41
3200000017,SOFT WHITE 10.5%,AMERICA,10.5,LOW,14.31
3200000018,UNION WHEAT 12.5%,UKRAINE,12.5,LOW,12.52
3200000019,UNION WHEAT 11.5%,UKRAINE,11.5,LOW,0.00
3200000020,UNION WHEAT 10.5%,UKRAINE,10.5,LOW,11.09
3200000021,UNION WHEAT 8.8%,UKRAINE,8.8,LOW,9.49
3200000022,WESTERN WHITE 10.5%,AMERICA,10.5,LOW,15.80
