Row Labels,Sum of Quatity
2667,3637.46
2765,765
2766,169.43
2770,1125
2781,824.49
2790,491.6
2793,2140
2800,4567.85
2801,270
2809,967.5
2813,945
2814,3618.67
2823,1800
2844,2651.15
2845,4770
2847,942.5
2859,2878.65
2882,4032.5
2884,2295
2885,2002.5
2887,2137.5
2893,3307.5
2894,937.76
2908,1305
2909,495
2919,2192.5
2922,1125
2929,2565
2954,630
2960,1060.31
2968,2956.17
2988,940.22
2989,889.59
3019,4305.03
3027,2137.5
3028,602.5
3032,700
3038,2025
3039,1867.5
3047,3975
3057,1628.3
3059,2462.5
3075,512
3076,4792.5
3078,2587.5
3079,3325
3081,3293.21
3099,2642.5
3105,2582.614
3119,1896.74
3128,2992.5
3129,3375
3136,3375
3142,1282.5
3143,2972.89
3146,1282.5
3147,787.5
3171,900
3178,3406.364
3187,2704.28
3192,2732.5
3202,1852.5
3203,1485
3204,2431.02
3206,270
3214,1485
3219,0
3222,2272.5
3230,2002.5
3233,3555
3236,3195
3238,3093.697
3248,1736.211
3258,2316.48
3270,243.3
3274,3735
3276,1921
3281,1192.5
3299,2250
3304,2137.5
3306,1912.5
3310,3218.14
3319,3375
3320,2250
3332,832.5
3339,3375
3340,1125
3345,1395
3346,2594.216
3350,3757.5
3358,1327.184
3367,1575
3368,1866.942
3375,742.5
3376,384.34
3377,3825
3385,1147.318
3407,2250
3413,3247.58
3421,1417.072
3425,1497.428
3426,3375
3431,3506.29
3432,1080
3434,2250
3438,765
3441,1304.86
3454,3218.43
3465,4365
3472,2812
3480,1622
3488,1125
3526,2417.71
3533,2264
3541,2700
3551,1485
3575,1147.5
3576,810.641
3583,1597.5
3584,720
3585,1464.59
3587,1755
3591,2700
3592,1080
3593,0
3594,2700
3595,630
3603,1350
3629,2025
3637,1575
3638,3167.018
3660,360
3661,3131.962
3678,3580.73
3703,5490.25
3704,3555
3715,644.91
3729,787.5
3749,2295
3750,1278.45
3756,742.5
3757,990
3758,1665
3761,247.5
3763,1435.05
3782,1451.17
3790,877.5
3792,1040.56
3795,0
3796,2160
3797,2677.64
3805,2682
3811,1732.5
3838,900
3850,2375.5
3851,1553
3859,3577.5
3860,3053
3868,2360.58
3876,2115
3886,3072.353
3889,2230.5
3894,697.5
3902,405
3919,2969.667
3925,2235.56
3926,585
3939,1530
3941,266.44
3944,1597.5
3945,1500.822
3953,427.5
3971,1734.78
3972,1192.5
3987,720
3988,1256.844
3989,2287.457
4014,225
4031,967.5
4038,1957.5
4040,3375
4053,540
4060,900
4061,720
4067,72.5
4068,2582.02
4087,1125
4091,2992.5
4099,247.5
4107,1065
4108,495
4114,1237.5
4115,990
4127,1980
4174,1125
4181,585
4189,2002.5
4190,787.5
4201,3375
4207,1350
4216,855
4224,1237.5
4225,2125
4227,2880
4237,875
4245,2768.5
4246,2835
4247,1214.865
4256,2583.65
4258,2092.5
4259,2248.757
4260,450
4265,1663.143
4266,1060.214
4267,2250
4273,325
4285,771.357
4289,2500
4290,1275
4292,450
4299,1225
4310,1675
4319,2697.5
4320,3161
4328,1350
4337,1200
4338,1395
4340,2625
4351,337.5
4353,3500
4363,758.2
4372,251.25
4375,2500
4385,1372
4386,3050
4390,1057.5
4393,2250
4394,382.5
4397,2137.5
4398,225
4405,607.5
4409,1777.5
4410,1875
4420,337.5
4435,180
4439,3690
4449,2880
4450,625
4452,2812.29
4453,1250
4454,1822.5
4458,2500
4460,922.21
4478,1125
4484,1687.5
4493,2835
4494,1125
4502,1215
4504,375
4523,1366.97
4547,2352.5
4548,810
4549,1875
4555,2280
4556,2115
4558,1750
4565,2475
4566,2002.5
4567,3187.116
4577,832.5
4578,900
4582,1373.4
4583,945
4584,2182.5
4585,1822.5
4586,2625
4596,1375
4597,1260
4598,1665
4603,2047.5
4604,4792.5
4605,1687
4606,2632.5
4612,1687.5
4620,1650
4622,1250
4642,3182.5
4644,3100
4645,1500
4646,922.5
4685,2565
4695,495
4699,45
4700,1875
4702,2675
4707,1867.5
4708,1320
4709,1867.5
4717,1755
4723,1314.12
4724,1867.5
4728,2205
4730,2250
4737,202.5
4739,2002.5
4740,1912.5
4741,2587.5
4770,1238.5
4771,900
4787,2250
4788,2250
4792,2250
4797,2962.5
4798,1912.5
4799,3487.5
4801,1125
4802,1350
4803,2025
4813,2250
4814,3217.5
4823,1125
4831,2857.5
4832,1372.5
4845,360
4857,630
4858,2025
4863,1952.5
4864,1125
4871,1754.5
4872,1124.998
4877,1822.5
4879,675
4880,517.5
4881,1800
4898,697.5
4899,460
4907,1710
4908,1737.5
4914,1355.162
4916,1462.5
4917,446.22
4918,1350.405
4919,990
4951,750
4953,225
4956,1230
4965,765
4977,3015
4978,855
4984,3172.5
4985,877.5
4988,967.5
5018,292.5
5019,2000
5024,2322.5
5025,3170
5026,2858
5031,2500
5033,1814.49
5035,1131.5
5046,2272.5
5047,405
5053,787.5
5054,1562.406
5058,1192.5
5089,1215
5091,562.5
5092,1125
5101,742.5
5119,562.5
5126,450
