Row Labels,Sum of Quatity
2667,78198
2765,87894
2766,89072
2768,86645
2769,68101
2770,90088
2772,89020
2780,76743
2781,76369
2788,89274
2789,82402
2790,82345
2791,86886
2792,73842
2793,76667
2799,84941
2800,77133
2801,70561
2808,88261
2809,84075
2810,80748
2813,80657
2814,86373
2815,89323
2819,82310
2820,75993
2822,86514
2823,77283
2824,86080
2829,87680
2838,87520
2839,51347
2844,85340
2845,85826
2847,73863
2848,85436
2857,74911
2858,85735
2859,76869
2860,67867
2861,49607
2862,79605
2870,91571
2871,90583
2873,87192
2881,74925
2882,79256
2884,77822
2885,74036
2886,77138
2887,75759
2893,85012
2894,87873
2895,80804
2896,86714
2908,87992
2909,87784
2919,89321
2922,79520
2925,86924
2928,86046
2929,91415
2936,87324
2937,89169
2946,19794
2948,84063
2949,87144
2954,82815
2955,84160
2960,78014
2961,78247
2967,82989
2968,88911
2969,88834
2975,63144
2976,85044
2981,81057
2982,86009
2988,88569
2989,88631
2994,88732
2995,77726
2999,84664
3001,76944
3002,90627
3003,85624
3004,76209
3010,84250
3011,81531
3018,87327
3019,77333
3026,86354
3027,82270
3028,77622
3031,82013
3032,77471
3033,77711
3037,60357
3038,87866
3039,88131
3047,85699
3048,68963
3049,79836
3055,73136
3056,71657
3057,87569
3059,87838
3060,77413
3061,77492
3067,86684
3068,59197
3069,80962
3072,81966
3075,87733
3076,149892
3077,5365
3078,85845
3079,75268
3080,85347
3081,74373
3087,76773
3091,85325
3099,89506
3105,87040
3106,54823
3118,86143
3119,76114
3120,81507
3121,85184
3128,78287
3129,76799
3133,87807
3134,84425
3135,77027
3136,78071
3141,79347
3142,78384
3143,74855
3145,76893
3146,76610
3147,76711
3153,81139
3154,87652
3155,43143
3163,72636
3164,84597
3165,74618
3170,84805
3171,77499
3174,74448
3178,86028
3180,85324
3181,85144
3187,84132
3188,87545
3191,85903
3192,83731
3202,77125
3203,82092
3204,84657
3205,84805
3206,77443
3210,86401
3211,75768
3212,75725
3214,85227
3218,76748
3219,81484
3221,77531
3222,87646
3223,85190
3224,86176
3230,86950
3232,134751
3233,86356
3236,66574
3237,89109
3238,85078
3246,76221
3247,88366
3248,74991
3256,72840
3257,87193
3258,78087
3265,83609
3268,40603
3269,42510
3270,80179
3271,72854
3274,83641
3275,80118
3276,76590
3281,71820
3282,82108
3283,76539
3291,50574
3292,50075
3293,77313
3294,77888
3298,85694
3299,87624
3300,102837
3304,83620
3305,77191
3306,82442
3310,77685
3314,75949
3315,158549
3319,88410
3320,44254
3321,78990
3332,89664
3333,71226
3339,88586
3340,72181
3344,85502
3345,89098
3346,83589
3348,77418
3349,74297
3350,88437
3356,77814
3357,83696
3358,78273
3366,83397
3367,83413
3368,78455
3375,63497
3376,91521
3377,71856
3383,72500
3384,88760
3385,78243
3387,88971
3388,88711
3391,83163
3392,82947
3393,83165
3400,84023
3401,76325
3402,77355
3406,72943
3407,83285
3408,73803
3411,70482
3412,72578
3413,73549
3420,81213
3421,75683
3422,76241
3425,78439
3426,84683
3427,81083
3431,76274
3432,75831
3433,72892
3434,84861
3437,81962
3438,77173
3441,76644
3442,37396
3452,86032
3453,86227
3454,86277
3455,75571
3456,75715
3457,79450
3464,98588
3465,81101
3466,75524
3471,78521
3472,87195
3478,53038
3479,84762
3480,79996
3488,49667.1
3489,77535
3490,60400
3501,81284
3502,77480
3507,160024
3508,72706
3509,81245
3510,78175
3516,18513
3517,77334
3518,86216
3525,87941
3526,77841
3533,54794
3540,86982
3541,58389
3542,56636
3543,74454
3546,87911
3547,81202
3550,88027
3551,87547
3556,81084
3557,78391
3568,87548
3569,72089
3575,88820
3576,73667
3577,71937
3583,86802
3584,74487
3585,78628
3587,86160
3588,77867
3590,82814
3591,61217
3592,88608
3593,89072
3594,65550
3595,80540
3602,89309
3603,73834
3613,81403
3619,77104
3620,78776
3621,81406
3625,87976
3626,88073
3627,54438
3629,87784
3630,88102
3636,89046
3637,82500
3638,87953
3639,78232
3642,84217
3643,75840
3653,74425
3655,84737
3656,78408
3657,86007
3660,78653
3661,77912
3664,77113
3665,75848
3675,84101
3676,84906
3677,63050
3678,88640
3683,84057
3684,80663
3693,87482
3694,94929
3701,73000
3703,87591
3704,88205
3706,82727
3707,78920
3708,78859
3710,88125
3711,89391
3712,68386
3713,81251
3714,71320
3715,79812
3727,81392
3728,81792
3729,84640
3730,73580
3734,87845
3735,76149
3739,83098
3740,76979
3741,76204
3749,62559
3750,76240
3756,85729
3757,76185
3758,86674
3759,89468
3760,76376
3761,76426
3762,77728
3763,76816
3764,76262
3774,77691
3775,77353
3776,56373
3777,80087
3778,86282
3781,82600
3782,85850
3786,85186
3790,82052
3791,74866
3792,76076
3795,81730
3796,75706
3797,75858
3804,55614
3805,80042
3810,87806
3811,74233
