Date,Brand,Flour,Process order,Batch,Time,L*,a*,b*,%MC (MB),%MC (NIR),%Ash (NIR),%Protein (NIR),%WG (NIR),%HG,%WG,%GI,%WA,Stability (min),FN (sec.),Result,Column1
1/5/2023,VT28,F1,2766,230105002A,2.40,94.58,0.39,9.10,14.2,13.9,0.71,11.4,28.8,24.0,29.5,81.2,0,0,0,NC (Off-spec),Jan-23
1/5/2023,C/P1,F1,2765,230105001A,11.50,95.81,0.03,8.66,0.0,13.5,0.42,13.4,38.3,29.9,38.3,78.7,65,26.34,0,Pass,Jan-23
1/5/2023,C/P1,F3,2765,230105001A,11.50,90.74,1.27,11.81,0.0,12.6,1.25,17.6,44.6,33.8,40.3,84.5,0,0,0,Pass,Jan-23
1/5/2023,VT34,F1,2772,230106002A,21.00,94.60,0.38,8.89,13.9,13.7,0.68,13.5,32.1,31.2,34.3,91.8,0,0,0,NC (Off-spec),Jan-23
1/6/2023,Bread,F1,2769,230106001A,11.30,95.16,0.24,9.95,13.5,13.9,0.50,15.8,47.3,36.3,44.1,82.5,67,15.97,494,Pass,Jan-23
1/6/2023,Bread,F3,2769,230106001A,11.30,86.37,2.25,13.96,0.0,12.1,2.14,23.8,53.3,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/6/2023,VT28,F1,2770,230106003A,17.40,94.02,0.48,9.02,0.0,13.1,0.65,11.7,28.7,24.5,30.8,79.5,0,0,0,Pass,Jan-23
1/7/2023,VT28,F1,2780,230107002A,2.30,93.65,0.47,9.32,0.0,13.1,0.69,11.5,28.5,25.8,30.1,86.0,0,0,0,Pass,Jan-23
1/7/2023,APW,F1,2768,230107001A,9.00,95.77,0.05,8.21,0.0,13.3,0.46,9.9,27.9,23.2,27.9,82.9,58,6.88,0,Pass,Jan-23
1/7/2023,APW,F3,2768,230107001A,9.00,88.94,1.65,13.34,0.0,11.0,1.86,15.0,32.1,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/7/2023,VT28,F1,2787,230107003A,18.00,94.11,0.53,9.53,0.0,12.8,0.72,11.5,28.5,26.9,28.8,92.8,0,0,0,Pass,Jan-23
1/8/2023,C/P2,F1,2788,230109001A,1.00,95.38,0.77,8.86,0.0,12.9,0.46,13.7,39.8,35.0,38.3,92.1,66,26.92,0,NC (Off-spec),Jan-23
1/8/2023,C/P2,F3,2788,230109001A,1.00,88.46,1.84,13.34,0.0,11.1,1.79,18.6,42.6,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/9/2023,ASW,F1,2789,230109002A,9.30,95.92,0.03,8.51,0.0,13.5,0.56,8.9,24.2,20.1,21.1,95.7,63,2.37,0,NC (Off-spec),Jan-23
1/9/2023,ASW,F3,2789,230109002A,9.30,89.32,1.58,13.68,0.0,11.7,1.94,12.9,26.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/9/2023,ASW,F1,2789,230109002A,12.00,95.79,0.01,8.59,0.0,13.4,0.52,8.7,24.7,20.9,21.1,99.5,61,3.47,0,NC (Off-spec),Jan-23
1/9/2023,VT28,F1,2790,230109003A,18.30,94.10,0.50,9.55,13.0,12.6,0.71,11.7,28.7,25.0,28.0,89.3,0,0,0,Pass,Jan-23
1/10/2023,VT28 (Food),F1,2791,230110001A,2.00,95.06,0.05,9.58,0.0,13.1,0.52,10.4,27.9,21.3,26.5,81.9,59,11.95,0,NC (Off-spec),Jan-23
1/10/2023,VT28 (Food),F3,2791,230110001A,2.00,88.84,1.82,13.64,0.0,10.7,2.05,14.6,28.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/10/2023,Bread,F1,2792,230110002A,10.30,95.52,0.06,9.42,0.0,13.2,0.47,13.2,40.4,33.8,35.8,93.9,65,34.93,529,NC (Off-spec),Jan-23
1/10/2023,Bread,F3,2792,230110002A,10.30,80.43,2.08,12.48,0.0,11.1,1.96,22.0,46.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/10/2023,VT28,F1,2793,230110003A,18.20,94.01,0.52,9.73,12.8,12.7,0.74,11.9,29.0,27.4,29.1,94.5,0,0,0,Pass,Jan-23
1/11/2023,APW,F1,2799,230111001A,1.30,95.99,0.03,9.05,0.0,12.9,0.46,9.7,29.4,19.5,25.6,76.3,59,9.47,0,NC (Off-spec),Jan-23
1/11/2023,APW,F3,2799,230111001A,1.30,89.92,1.40,12.21,0.0,10.6,1.66,14.0,28.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/11/2023,VT28,F1,2800,230111002A,10.20,94.07,0.53,9.81,0.0,12.8,0.66,11.8,30.5,27.2,28.4,95.8,0,0,0,Pass,Jan-23
1/11/2023,VT28,F1,2801,230111003A,18.00,93.52,0.58,10.22,0.0,12.8,0.78,12.3,29.8,24.7,31.2,79.2,0,0,0,Pass,Jan-23
1/12/2023,VT28,F1,2809,230112001A,3.45,95.21,0.18,8.64,0.0,13.2,0.69,11.2,27.3,27.7,28.7,95.5,0,0,0,Pass,Jan-23
1/12/2023,VT28,F1,2810,230112002A,13.10,95.15,0.34,8.19,0.0,13.7,0.71,9.7,27.1,19.9,24.6,80.8,0,0,0,Pass,Jan-23
1/13/2023,VT34,F1,2808,230112003A,5.40,94.51,0.54,9.30,0.0,13.3,0.58,13.5,38.1,33.2,36.5,92.2,0,0,0,Pass,Jan-23
1/13/2023,VT28,F1,2813,230113001A,10.50,95.12,0.43,8.28,0.0,13.6,0.70,9.8,27.8,21.1,24.7,85.3,0,0,0,NC (Off-spec),Jan-23
1/14/2023,Bread,F1,2815,230113002A,5.20,95.47,0.13,8.85,0.0,13.3,0.44,14.3,40.7,34.7,39.0,88.0,68,29.63,0,Pass,Jan-23
1/14/2023,Bread,F3,2815,230113002A,5.20,88.93,2.54,13.09,0.0,11.8,1.96,21.6,48.5,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/14/2023,Bread,F1,2815,230113002A,11.00,95.34,0.16,8.87,0.0,13.2,0.47,14.5,0.0,35.4,39.1,90.8,66,29.88,0,Pass,Jan-23
1/14/2023,ASW,F1,2820,230114002A,13.50,96.08,0.02,8.32,13.5,13.7,0.49,9.0,24.9,22.1,23.8,92.1,59,6.72,0,Pass,Jan-23
1/14/2023,ASW,F3,2820,230114002A,13.50,90.92,1.20,12.43,0.0,11.5,1.63,12.6,27.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/14/2023,VT34,F1,2819,230114001A,23.30,94.66,0.40,9.17,0.0,13.5,0.57,13.3,37.9,30.1,38.0,81.9,0,0,0,Pass,Jan-23
1/17/2023,C/P1,F1,2822,230117001A,4.00,95.88,0.10,8.55,13.5,13.7,0.39,13.3,39.2,33.6,37.8,88.9,66,27.02,0,Pass,Jan-23
1/17/2023,C/P1,F3,2822,230117001A,4.00,90.77,1.42,11.91,0.0,13.1,1.22,17.9,46.5,38.3,41.0,93.4,0,0,0,Pass,Jan-23
1/17/2023,APW,F1,2824,23017002A,13.20,96.06,0.05,8.13,13.5,13.6,0.44,9.7,26.8,20.8,28.0,74.1,58,8.03,0,Pass,Jan-23
1/17/2023,APW,F3,2824,23017002A,13.20,89.68,1.50,12.31,0.0,11.0,1.81,14.9,32.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/18/2023,C/P2,F1,2829,230118001A,3.30,95.18,0.09,9.09,0.0,13.3,0.43,13.7,38.2,31.5,38.4,82.0,65,34.08,0,Pass,Jan-23
1/18/2023,C/P2,F3,2829,230118001A,3.30,88.29,1.83,13.29,0.0,11.8,1.89,19.1,42.3,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/19/2023,C/P1,F1,2838,230119001A,0.30,96.24,0.01,8.66,0.0,13.2,0.41,13.3,38.1,35.8,38.3,94.2,65,0,0,Pass,Jan-23
1/19/2023,C/P1,F3,2838,230119001A,0.30,90.25,1.46,12.23,0.0,12.0,1.53,18.7,45.0,36.6,37.3,98.9,0,0,0,NC (Off-spec),Jan-23
1/19/2023,Bread,F1,2839,230119002A,8.54,95.94,0.01,8.86,12.7,13.9,0.42,14.2,40.8,35.2,40.2,88.0,65,34.99,560,Pass,Jan-23
1/19/2023,Bread,F3,2839,230119002A,8.54,87.98,2.06,13.39,0.0,12.0,1.95,22.4,50.7,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/20/2023,VT28,F1,2844,230120001A,4.00,94.14,0.04,11.18,0.0,13.6,0.70,10.8,27.0,25.0,28.2,89.3,0,0,0,Pass,Jan-23
1/20/2023,VT34,F1,2823,230120001A,13.35,94.82,0.31,9.05,0.0,13.4,0.60,13.5,37.9,30.9,36.6,84.5,0,0,0,Pass,Jan-23
1/21/2023,ASW,F1,2848,230121002A,0.00,95.95,0.13,9.41,0.0,13.5,0.50,8.7,22.2,21.0,21.6,97.5,58,5.13,0,Pass,Jan-23
1/21/2023,ASW,F3,2848,230121002A,0.00,88.01,1.67,14.61,0.0,11.3,2.12,14.9,28.5,0.0,0.0,0.0,0,0,0,Pass,Jan-23
1/21/2023,VT28,F1,2845,230120002A,9.20,94.47,0.28,9.51,0.0,13.4,0.70,12.4,31.6,27.7,32.0,87.0,0,0,0,Pass,Jan-23
1/21/2023,APW,F1,2857,230123001A,21.30,95.91,0.12,8.29,0.0,12.9,0.46,9.7,26.5,24.4,26.9,90.4,59,8.33,0,Pass,Jan-23
1/21/2023,APW,F3,2857,230123001A,21.30,89.55,1.42,12.74,0.0,10.6,1.81,15.2,31.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/21/2023,VT28,F1,2858,230123002A,5.30,94.90,0.37,11.63,0.0,13.0,0.49,10.8,27.6,25.8,30.9,83.2,0,0,0,Pass,Jan-23
1/21/2023,VT28,F3,2858,230123002A,5.30,87.77,1.52,13.99,0.0,11.2,2.78,16.1,31.1,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/23/2023,VT34,F1,2859,230123003A,15.50,94.63,0.32,9.02,0.0,13.5,0.58,13.0,35.6,32.0,34.4,93.0,0,0,0,Pass,Jan-23
1/24/2023,Bread,F1,2860,230124001A,4.00,95.03,0.10,9.96,0.0,13.1,0.49,13.9,38.9,32.2,37.7,84.7,65,27.42,594,Pass,Jan-23
1/24/2023,Bread,F3,2860,230124001A,4.00,86.48,2.19,14.38,0.0,11.3,2.17,21.2,45.5,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/24/2023,APW,F1,2861,230124002A,11.00,95.97,0.13,8.13,0.0,13.4,0.45,9.7,26.8,22.0,25.6,85.9,58,5.75,0,Pass,Jan-23
1/24/2023,APW,F3,2861,230124002A,11.00,88.46,1.68,12.86,0.0,10.5,1.81,14.9,30.9,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/24/2023,ASW,F1,2862,230124003A,16.50,95.86,0.23,8.73,0.0,12.8,0.58,8.8,22.5,22.6,25.0,90.4,61,3.83,0,Pass,Jan-23
1/24/2023,ASW,F3,2862,230124003A,16.50,88.45,1.79,14.56,0.0,10.0,2.30,14.1,27.5,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/25/2023,C/P1,F1,2870,230125001A,0.30,96.38,0.13,8.16,0.0,13.0,0.41,13.0,37.5,34.9,37.1,94.2,64,37.41,0,Pass,Jan-23
1/25/2023,C/P1,F3,2870,230125001A,0.30,90.90,1.36,11.83,0.0,11.7,1.43,18.1,45.2,34.3,36.1,95.3,0,0,0,Pass,Jan-23
1/25/2023,VT28,F1,2814,230125002A,9.10,94.87,0.39,9.22,0.0,13.0,0.39,12.2,32.2,29.4,31.7,92.6,0,0,0,Pass,Jan-23
1/26/2023,Bread,F1,2873,230126001A,5.30,94.96,0.04,10.07,0.0,13.3,0.52,13.7,38.8,33.2,36.3,92.2,65,16.1,528,Pass,Jan-23
1/26/2023,Bread,F3,2873,230126001A,5.30,85.91,2.44,14.90,0.0,11.5,2.22,20.8,43.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/27/2023,VT34,F1,2847,230126002A,3.30,94.73,0.33,8.96,0.0,13.5,0.57,13.2,36.1,32.3,34.3,95.0,0,0,0,Pass,Jan-23
1/27/2023,VT34,F1,2847,230126002A,15.50,95.17,0.34,8.63,0.0,13.4,0.58,13.2,35.3,33.1,34.7,95.3,0,0,0,Pass,Jan-23
1/28/2023,VT28,F1,2881,230127001A,0.30,94.31,0.39,9.32,0.0,13.2,0.73,12.0,30.9,26.1,32.5,81.6,0,0,0,Pass,Jan-23
1/28/2023,VT34,F1,2882,230127002A,14.10,95.09,0.38,8.73,0.0,13.5,0.58,13.4,36.2,29.5,34.8,84.0,0,0,0,Pass,Jan-23
1/28/2023,VT28,F1,2884,230128002A,16.30,94.95,0.28,8.99,0.0,13.1,0.64,11.5,31.9,27.2,30.0,90.7,0,0,0,Pass,Jan-23
1/29/2023,VT28,F1,2885,230128002A,4.50,94.78,0.21,9.32,0.0,12.9,0.72,11.5,30.0,24.6,26.4,94.6,0,0,0,NC (Off-spec),Jan-23
1/30/2023,VT28,F1,2885,230128002A,9.30,94.97,0.18,9.03,0.0,13.4,0.71,11.4,30.0,25.5,29.0,87.8,0,0,0,Pass,Jan-23
1/30/2023,VT28,F1,2887,230130002A,13.35,94.82,0.18,9.18,0.0,13.3,0.70,11.5,30.3,26.9,29.6,92.8,0,0,0,Pass,Jan-23
1/31/2023,VT28 (Food),F1,2886,230130001A,0.00,95.08,0.26,11.11,0.0,13.0,0.50,10.6,27.0,23.4,24.8,93.6,57,10.75,0,NC (Off-spec),Jan-23
1/31/2023,VT28 (Food),F3,2886,230130001A,0.00,82.66,2.34,13.42,0.0,10.3,3.30,17.0,28.1,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/31/2023,APW,F1,2893,230131001A,8.20,96.24,0.15,8.13,0.0,13.5,0.46,9.7,26.7,24.9,25.8,95.8,57,6.3,0,Pass,Jan-23
1/31/2023,APW,F3,2893,230131001A,8.20,87.55,1.88,13.35,0.0,10.7,2.11,15.6,31.6,0.0,0.0,0.0,0,0,0,NC (Off-spec),Jan-23
1/31/2023,VT34,F1,2895,230131003A,16.30,94.62,0.19,9.92,0.0,13.4,0.59,13.8,38.3,31.7,37.1,85.7,0,0,0,Pass,Jan-23
1/31/2023,VT34,F1,2895,230131003A,23.30,94.70,0.11,9.30,13.7,13.9,0.58,13.9,38.3,33.7,36.5,93.6,0,0,0,Pass,Jan-23
2/1/2023,VT28,F1,2908,230131002A,7.10,94.58,0.21,9.17,0.0,13.4,0.68,11.3,30.2,26.5,28.8,91.4,0,0,0,Pass,Feb-23
2/1/2023,Bread,F1,2896,230201001A,15.40,95.28,0.03,9.57,0.0,13.2,0.46,13.8,39.9,33.8,39.1,86.5,65,16.77,559,Pass,Feb-23
2/1/2023,Bread,F3,2896,230201001A,15.40,86.75,2.28,14.01,0.0,20.6,2.13,20.6,47.3,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/2/2023,VT28,F1,2894,230202001A,5.30,94.46,0.30,9.12,0.0,13.5,0.68,11.4,30.8,23.2,29.9,77.3,0,0,0,Pass,Feb-23
2/2/2023,VT28,F1,2909,230202002A,13.40,94.73,0.13,9.02,0.0,13.4,0.67,12.0,30.3,24.3,31.1,78.4,0,0,0,Pass,Feb-23
2/7/2023,ASW,F1,2919,230208001A,11.50,95.84,0.08,8.32,0.0,13.5,0.47,9.0,24.5,21.1,24.0,87.9,58,6.51,0,Pass,Feb-23
2/7/2023,ASW,F3,2919,230208001A,11.50,87.87,1.68,13.88,0.0,12.3,2.24,14.8,28.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/8/2023,C/P1,F1,2871,230207001A,4.40,95.58,0.03,8.84,0.0,13.5,0.39,12.9,36.6,30.4,37.4,82.2,64,35.21,0,Pass,Feb-23
2/8/2023,C/P1,F3,2871,230207001A,4.40,90.51,1.22,11.48,0.0,12.6,1.33,17.1,43.8,35.0,38.1,92.1,0,0,0,Pass,Feb-23
2/9/2023,APW,F1,2922,230209001A,0.45,95.77,0.04,7.91,0.0,13.3,0.43,9.8,26.8,23.0,28.0,82.4,58,9.00,0,Pass,Feb-23
2/9/2023,APW,F3,2922,230209001A,0.45,89.05,1.53,12.47,0.0,11.7,1.82,14.5,29.6,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/10/2023,Bread,F1,2925,230210001A,0.45,95.10,0.07,9.64,13.7,13.8,0.48,13.7,38.4,31.0,37.8,82.1,66,30.87,548,NC (Off-spec),Feb-23
2/10/2023,Bread,F3,2925,230210001A,0.45,86.65,2.43,13.88,0.0,12.8,2.01,20.6,46.1,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/11/2023,VT28 (Food),F1,2928,230211001A,2.10,95.21,0.00,10.00,0.0,13.4,0.41,10.5,28.6,24.7,29.4,85.2,54,7.23,0,Pass,Feb-23
2/11/2023,VT28 (Food),F3,2928,230211001A,2.10,84.42,2.80,13.75,0.0,11.4,3.37,11.4,30.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/11/2023,VT28,F1,2929,230211002A,11.10,95.11,0.08,9.20,0.0,13.5,0.68,10.9,30.1,24.7,29.9,82.3,0,0,0,Pass,Feb-23
2/14/2023,APW,F1,2936,230214001A,0.00,95.92,0.11,8.10,13.5,13.8,0.42,9.6,26.9,20.9,26.5,78.8,58,10.13,0,Pass,Feb-23
2/14/2023,APW,F3,2936,230214001A,0.00,88.37,1.68,12.17,0.0,12.6,1.62,13.6,29.4,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/14/2023,ASW,F1,2937,230214002A,9.35,93.53,0.15,2.82,13.6,13.8,0.46,8.9,24.1,21.6,23.5,92.5,59,5.07,0,NC (Off-spec),Feb-23
2/14/2023,ASW,F3,2937,230214002A,9.35,86.95,1.30,8.17,0.0,11.6,1.90,13.4,26.6,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/14/2023,SW,F1,2946,230214003A,18.25,96.29,0.40,8.30,0.0,13.2,0.44,8.7,23.3,5.9,23.5,25.2,53,1.82,0,Pass,Feb-23
2/14/2023,SW,F3,2946,230214003A,18.25,89.45,1.48,12.30,0.0,10.9,1.66,14.7,30.1,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/15/2023,C/P1,F1,2948,230215001A,0.30,95.61,0.01,9.68,13.7,13.6,0.45,12.7,35.7,31.9,33.8,94.4,64,34.36,0,NC (Off-spec),Feb-23
2/15/2023,C/P1,F3,2948,230215001A,0.03,90.07,1.63,12.44,0.0,12.5,1.37,16.5,41.8,29.3,37.7,77.1,0,0,0,Pass,Feb-23
2/15/2023,Bread,F1,2949,230215002A,8.00,95.04,0.21,9.21,13.4,13.8,0.46,14.1,40.6,35.0,37.8,92.7,66,32.37,613,Pass,Feb-23
2/15/2023,Bread,F3,2949,230215002A,8.00,87.24,2.30,13.66,0.0,12.0,1.96,21.5,48.9,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/16/2023,VT28,F1,2925,230216002A,0.10,94.83,0.27,9.31,0.0,13.5,0.68,11.2,30.4,22.1,28.6,77.5,0,0,0,Pass,Feb-23
2/16/2023,APW,F1,2954,230216001A,9.10,96.10,0.06,8.10,0.0,13.3,0.43,9.8,27.4,21.8,26.4,82.4,59,7.98,0,Pass,Feb-23
2/16/2023,APW,F3,2954,230216001A,9.10,88.84,1.69,12.84,0.0,10.9,1.86,14.4,29.7,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/17/2023,C/P1,F1,2967,230217003A,0.00,95.86,0.12,9.67,0.0,13.5,0.41,12.9,38.3,31.8,36.1,88.3,65,0,0,Pass,Feb-23
2/17/2023,C/P1,F3,2967,230217003A,0.00,90.21,1.47,12.57,0.0,12.2,1.36,17.0,42.4,33.6,34.5,98.8,0,0,0,Pass,Feb-23
2/17/2023,VT28,F1,2960,230217002A,8.05,94.32,0.24,9.36,0.0,13.1,0.66,11.0,29.6,22.1,28.0,78.9,0,0,0,Pass,Feb-23
2/18/2023,VT28,F1,2961,230217002A,1.10,94.82,0.16,9.38,0.0,12.9,0.69,11.2,29.3,25.2,29.7,84.9,0,0,0,Pass,Feb-23
2/18/2023,VT28,F1,2968,230218001A,9.20,94.81,0.18,9.36,0.0,13.1,0.68,11.4,29.6,26.5,29.1,91.1,0,0,0,Pass,Feb-23
2/19/2023,VT28,F1,2969,230218002A,0.00,93.88,0.31,9.31,0.0,13.0,0.68,11.0,29.1,24.1,28.0,86.1,0,0,0,Pass,Feb-23
2/21/2023,APW,F1,2975,230221001A,1.00,95.99,0.06,8.06,0.0,13.3,0.45,9.6,26.6,24.2,26.7,89.6,59,7.55,0,Pass,Feb-23
2/21/2023,APW,F3,2975,230221001A,1.00,89.28,1.57,12.55,0.0,11.4,1.74,13.8,28.6,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/21/2023,ASW,F1,2976,230221002A,7.20,95.84,0.06,6.00,0.0,13.0,0.46,8.7,22.7,22.1,23.3,95.1,58,11.6,0,Pass,Feb-23
2/21/2023,ASW,F3,2976,230221002A,7.20,88.43,1.59,13.15,0.0,10.9,2.02,14.0,26.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/22/2023,VT28 (Food),F1,2982,230222002A,9.10,95.39,0.28,10.63,0.0,13.4,0.37,10.8,28.7,24.6,27.9,87.9,53,11.67,0,Pass,Feb-23
2/22/2023,VT28 (Food),F3,2982,230222002A,9.10,86.66,2.04,13.48,0.0,10.7,2.66,15.7,27.8,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/22/2023,VT28 (Food),F1,2982,230222002A,11.30,95.29,0.33,10.13,0.0,13.5,0.38,10.9,29.0,25.5,27.8,91.4,54,7.77,0,Pass,Feb-23
2/23/2023,Bread,F1,2981,230222001A,1.10,95.06,0.15,9.39,0.0,13.4,0.46,14.5,41.9,36.0,39.1,92.0,65,0,439,Pass,Feb-23
2/23/2023,Bread,F3,2981,230222001A,1.10,84.72,2.35,14.16,0.0,11.2,2.30,22.2,45.4,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/23/2023,VT28,F1,2988,230223001A,13.30,94.45,0.15,9.28,0.0,13.2,0.64,11.3,29.6,24.2,28.6,84.6,0,0,0,Pass,Feb-23
2/24/2023,VT28,F1,2989,230223002A,3.15,94.42,0.44,9.59,0.0,13.0,0.67,11.3,29.8,24.0,28.7,85.7,0,0,0,Pass,Feb-23
2/24/2023,C/P1,F1,2999,230224001A,12.00,95.64,0.07,9.52,0.0,12.9,0.41,13.1,37.5,30.9,36.8,83.5,65,32.13,0,Pass,Feb-23
2/24/2023,C/P1,F3,2999,230224001A,12.00,90.16,1.37,12.96,0.0,11.6,1.28,17.4,44.6,36.6,39.3,93.8,0,0,0,Pass,Feb-23
2/25/2023,APW,F1,3003,230225001A,11.15,96.14,0.08,8.12,0.0,13.1,0.45,10.0,27.3,23.9,28.1,85.1,58,5.85,0,Pass,Feb-23
2/25/2023,APW,F3,3003,230225001A,11.15,88.69,1.80,13.03,0.0,10.3,1.79,15.0,30.0,0.0,0.0,0.0,0,0,0,NC (Off-spec),Feb-23
2/25/2023,VT28,F1,2994,230224002A,2.10,94.23,0.39,9.63,0.0,13.1,0.71,11.6,30.2,23.7,30.1,78.6,0,0,0,Pass,Feb-23
2/25/2023,VT28,F1,2995,230224003A,19.35,94.65,0.25,9.91,0.0,13.1,0.69,11.2,29.9,24.0,29.5,82.8,0,0,0,Pass,Feb-23
2/26/2023,VT28,F1,3001,230225003A,3.30,94.41,0.33,10.20,0.0,12.9,0.73,11.2,30.0,21.1,30.3,70.3,0,0,0,Pass,Feb-23
